ID,BossID,Path,Gender,Title,GivenName,MiddleInitial,Surname,StreetAddress,City,State,ZipCode,Country,CountryFull,EmailAddress,Username,Password,TelephoneNumber,MothersMaiden,Birthday,CCType,CCNumber,CVV2,CCExpires,NationalID,UPS,Color,Occupation,Company,Vehicle,Domain,BloodType,Pounds,Kilograms,FeetInches,Centimeters,GUID,Latitude,Longitude
1,-1,/1/,male,Mr.,Danilo,M,Mazzanti,394 Douglas Dairy Road,Kingsport,VA,37663,US,United States,DaniloMazzanti@rhyta.com,Purpoer,bus8pi4Xeij,276-613-3579,Colombo,10/02/29,Visa,4.91657E+15,236,Sep-18,225-56-6119,1Z 51W 554 56 8562 799 7,Green,Agronomist,Integra Wealth,2011 Lincoln Town Car,LifeInsuranceFunds.com,A+,191.4,87,"5' 7""",171,3be99fd4-c165-4a31-ac30-c359f3c77da3,36.484035,-82.444543
2,-1,/2/,male,Mr.,Saverio,N,Ferri,4337 Randolph Street,Bridgewater,MA,2324,US,United States,SaverioFerri@einrot.com,Nothead,yu5iJeic,508-697-8544,Manfrin,9/24/1958,Visa,4.92946E+15,117,Dec-18,021-60-5795,1Z 624 E91 11 9962 947 0,Black,Photogrammetrist,Ideal Garden Management,1996 Vauxhall Astra,RankCanada.com,AB+,243.8,110.8,"5' 10""",179,cebc69b2-bc02-488e-a2ee-2111b771a551,42.056227,-70.96483
3,1,/1/3/,male,Mr.,Simone,G,Endrizzi,3183 Sharon Lane,Rochester,IN,46975,US,United States,SimoneEndrizzi@gustr.com,Abot1974,Thaujie4eev,574-224-7548,Beneventi,8/24/1974,Visa,4.48551E+15,157,Jul-17,309-74-1966,1Z 707 9E6 42 6170 423 8,Orange,Geotechnical engineer,Superior Interactive,2005 Alpina Roadster,TuneBurner.com,A+,190.1,86.4,"5' 6""",168,abfe170b-2d0f-4be3-98f9-8565f17ea626,41.09584,-86.339703
4,2,/2/4/,male,Mr.,Quintino,G,Palermo,746 Bingamon Branch Road,Wheeling,IL,60090,US,United States,QuintinoPalermo@superrito.com,Aguacce,Isoo2udee0b,847-243-7726,Loggia,06/11/65,MasterCard,5.17362E+15,955,Aug-15,348-80-8026,1Z 17V 892 70 9439 058 0,Green,Administrative office assistant,Edge Yard Service,2008 Opel Frontera,FuelMenu.com,B+,245.1,111.4,"5' 9""",174,134b84f9-365e-49f7-99e3-ac098ed533af,42.102847,-87.827485
5,2,/2/4/,male,Mr.,Salvo,B,Padovesi,4393 Clark Street,New York,NY,10004,US,United States,SalvoPadovesi@jourrapide.com,Whiseed,ait2zoo7Ah,631-228-7010,Fallaci,04/04/81,MasterCard,5.48104E+15,549,Nov-17,070-18-7173,1Z 52W 547 35 2450 344 4,Blue,Computer systems administrator,Brooks Fashions,1999 Kia Clarus,SharperDiscounts.com,O+,217.8,99,"5' 10""",179,d4447001-548c-45fa-ad82-5086f56258fd,40.705926,-73.937802
6,1,/1/6/,male,Mr.,Alfonsino,V,Lucchese,1786 Melm Street,Woonsocket,RI,2895,US,United States,AlfonsinoLucchese@dayrep.com,Onsed1914,Aijoo1ee,401-235-3224,Lombardi,10/15/1914,Visa,4.92906E+15,411,Sep-17,036-22-0716,1Z 028 973 25 5173 666 6,Orange,Yardmaster,Kids Mart,1992 Ford Fiesta,ScrapWorm.com,B+,174.2,79.2,"6' 0""",182,37fd4310-ee21-4f86-b8d2-2f16362aee1a,42.043551,-71.474278
7,2,/2/7/,male,Mr.,Elvio,V,Sabbatini,4922 Pearlman Avenue,Boston,MA,2110,US,United States,ElvioSabbatini@fleckens.hu,Keircolty,Laixaucai4Qu,978-223-9978,Russo,4/23/1994,MasterCard,5.28574E+15,992,Nov-19,014-09-4175,1Z 874 985 61 0032 833 5,Green,Sheriff,Foot Quarters,2003 SsangYong Korando,RefinancingSearch.com,O+,207,94.1,"5' 9""",176,0b560b6a-4eb4-426c-be93-94f26a434732,42.380894,-71.014225
8,1,/1/8/,male,Mr.,Bonifacio,N,Arcuri,309 Tipple Road,Philadelphia,PA,19146,US,United States,BonifacioArcuri@dayrep.com,Therstrons71,aelai6Ioyei,215-731-6339,Gallo,9/16/1971,Visa,4.53949E+15,21,Sep-18,208-38-5501,1Z 822 6W5 97 8001 698 9,Blue,First responder,Twin Electronics,1992 Buick LeSabre,PoliticalCompany.com,O+,231.7,105.3,"5' 7""",170,98d36ba0-8615-4280-93dd-0228c277e69a,39.995083,-75.13229
9,3,/1/3/9/,male,Mr.,Nunzio,A,Marchesi,237 Late Avenue,Stillwater,OK,74074,US,United States,NunzioMarchesi@teleworm.us,Mospe1943,aevooCu7ah,580-790-1946,Greece,5/30/1943,MasterCard,5.52851E+15,796,Jul-16,443-72-9279,1Z 841 106 04 7516 667 5,Green,Composing machine tender,Pantry Food Stores,1995 Buick Park Avenue,SpyAnalyst.com,B+,134.4,61.1,"6' 0""",182,73c8e19f-124b-47f0-8178-847bafe92b90,36.129686,-97.017693
10,3,/1/3/10/,male,Mr.,Giacobbe,B,Milanesi,3119 Ella Street,San Francisco,CA,94143,US,United States,GiacobbeMilanesi@superrito.com,Winiter,se6aeG8eoNg,650-277-1712,Bruno,8/30/1959,MasterCard,5.27856E+15,363,Sep-18,564-77-2039,1Z 536 W09 46 6886 431 3,Blue,Brokerage clerk,Sherman's,2001 Audi TT,StadiumCrowds.com,B-,169,76.8,"5' 7""",170,03409e67-1789-4293-870a-a54c600e4ba2,37.78834,-122.389351
11,4,/2/4/11/,male,Mr.,Bellino,G,Greco,4194 Junior Avenue,Atlanta,GA,30315,US,United States,BellinoGreco@jourrapide.com,Thaddy,EKah7ahNg,404-624-7931,Calabrese,9/24/1945,MasterCard,5.16975E+15,120,Apr-18,670-12-3519,1Z 050 W01 38 3715 844 7,Red,Nuclear power reactor operator,Farrell's Ice Cream Parlour,2003 Alfa Romeo 147,LinkBackground.com,B+,218.5,99.3,"5' 10""",179,625d4c65-558f-4f6f-bf3b-f786dbf03aff,33.626029,-84.366859
